               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068024,             0.02552,            0.056848,             0.67607,             0.24443,             0.23996,             0.13666,            0.042092,           0.0066298,            0.026938,            0.070134,           0.0033185,           0.0033185
                   1,            0.050608,            0.019094,            0.030422,             0.58154,             0.39919,             0.38347,              0.2455,            0.041321,           0.0059131,            0.016264,            0.040101,           0.0066189,           0.0066189
                   2,            0.051532,            0.018578,            0.026718,               0.459,             0.21905,             0.16658,            0.077343,            0.042751,           0.0098095,            0.031546,            0.010035,           0.0098863,           0.0098863
                   3,            0.051057,            0.019771,            0.028893,             0.66895,             0.32048,             0.33924,                0.16,            0.043269,           0.0081979,            0.025518,           0.0098515,           0.0098515,           0.0098515
                   4,            0.051629,            0.019668,             0.02604,             0.57798,             0.34708,             0.39445,             0.20808,            0.038615,           0.0067671,            0.015804,           0.0098515,           0.0098515,           0.0098515
                   5,            0.047997,            0.018977,            0.022625,             0.64517,             0.39583,             0.44752,             0.20992,             0.03974,           0.0065611,            0.014807,            0.009802,            0.009802,            0.009802
                   6,            0.046796,            0.018612,            0.020675,             0.60231,             0.40147,             0.47224,              0.2657,            0.037639,           0.0059583,            0.012934,           0.0097525,           0.0097525,           0.0097525
                   7,            0.045295,            0.018419,            0.020535,             0.58146,              0.5257,             0.52763,             0.28642,            0.037339,           0.0063124,            0.010994,            0.009703,            0.009703,            0.009703
                   8,             0.04753,            0.018079,            0.020285,             0.57086,             0.45187,             0.44093,             0.23251,            0.037748,           0.0070781,            0.017171,           0.0096535,           0.0096535,           0.0096535
                   9,            0.042556,            0.017629,            0.018124,             0.58603,             0.52284,             0.53717,              0.3182,            0.036074,           0.0058735,            0.011297,            0.009604,            0.009604,            0.009604
                  10,            0.043015,            0.017481,            0.017713,             0.65112,             0.54968,             0.57185,             0.31544,            0.033552,           0.0058102,             0.01412,           0.0095545,           0.0095545,           0.0095545
                  11,            0.042676,            0.017305,            0.017642,             0.65784,             0.54409,             0.57224,             0.34852,            0.033708,           0.0056287,            0.012041,            0.009505,            0.009505,            0.009505
                  12,            0.040957,            0.017393,            0.017157,             0.56854,             0.51069,             0.52482,             0.29731,            0.034931,           0.0059946,            0.011816,           0.0094555,           0.0094555,           0.0094555
                  13,            0.041491,            0.016931,            0.017001,             0.71145,             0.60817,             0.65125,             0.38019,            0.033875,           0.0054831,            0.010092,            0.009406,            0.009406,            0.009406
                  14,            0.041237,            0.016901,            0.016478,             0.72393,              0.6013,             0.65764,             0.40141,            0.032723,           0.0059119,            0.009268,           0.0093565,           0.0093565,           0.0093565
                  15,            0.038635,            0.017001,            0.015687,             0.58172,             0.53887,             0.54019,             0.31463,            0.033482,           0.0061767,           0.0088753,            0.009307,            0.009307,            0.009307
                  16,            0.040558,            0.016925,             0.01598,             0.63497,             0.66921,              0.6687,             0.42043,            0.031985,           0.0051701,           0.0083194,           0.0092575,           0.0092575,           0.0092575
                  17,            0.041074,            0.016311,            0.014927,             0.71107,             0.63508,             0.67115,             0.40587,            0.033091,           0.0054573,           0.0087239,            0.009208,            0.009208,            0.009208
                  18,            0.037204,            0.016315,            0.014863,             0.72392,             0.61141,             0.67871,              0.4279,            0.030741,           0.0053062,            0.007536,           0.0091585,           0.0091585,           0.0091585
                  19,            0.037374,            0.016153,            0.013953,             0.56033,             0.62778,              0.6195,             0.37569,            0.030754,           0.0056535,           0.0083493,            0.009109,            0.009109,            0.009109
                  20,            0.035919,            0.015951,            0.013446,             0.73896,              0.6401,             0.67193,             0.44771,            0.030095,           0.0052489,           0.0078268,           0.0090595,           0.0090595,           0.0090595
                  21,            0.038548,            0.015931,            0.014478,             0.62649,             0.65605,             0.68371,             0.42146,            0.031373,           0.0055124,           0.0074502,             0.00901,             0.00901,             0.00901
                  22,            0.035885,            0.015984,            0.014399,             0.60566,             0.64547,             0.66312,             0.42309,            0.031179,           0.0053933,           0.0072773,           0.0089605,           0.0089605,           0.0089605
                  23,            0.037087,            0.015662,             0.01207,             0.65112,             0.66002,             0.70803,             0.46499,            0.029116,           0.0051506,           0.0079831,            0.008911,            0.008911,            0.008911
