               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082483,            0.027711,            0.055376,           0.0013209,            0.082569,           0.0048389,           0.0012866,            0.056699,           0.0082381,            0.036328,            0.070112,           0.0033209,           0.0033209
                   1,            0.075678,            0.025952,            0.041268,             0.77989,            0.031243,           0.0017244,          0.00039149,            0.062477,            0.010445,            0.030131,             0.04009,           0.0066323,           0.0066323
                   2,            0.072086,            0.025906,            0.029064,              0.1143,             0.14281,           0.0019126,          0.00043171,             0.06048,            0.010826,            0.038562,            0.010046,           0.0099217,           0.0099217
                   3,            0.065763,            0.026155,            0.023037,             0.46783,             0.13838,             0.13103,            0.048348,            0.044546,            0.011317,            0.026086,            0.009901,            0.009901,            0.009901
                   4,            0.058114,            0.025002,            0.018603,             0.58783,             0.16997,             0.14113,            0.042839,             0.04305,           0.0097341,            0.015576,            0.009901,            0.009901,            0.009901
                   5,            0.056863,            0.023748,            0.016255,             0.30477,             0.31955,               0.235,            0.081385,            0.043855,           0.0084022,            0.011146,            0.009868,            0.009868,            0.009868
                   6,            0.054536,            0.022669,            0.014068,             0.44993,             0.30431,             0.29263,             0.13576,            0.041667,           0.0084413,            0.014575,            0.009835,            0.009835,            0.009835
                   7,            0.051565,            0.022107,            0.013162,             0.36222,             0.46352,             0.36826,             0.13419,            0.039084,            0.009167,           0.0082709,            0.009802,            0.009802,            0.009802
                   8,            0.052128,              0.0219,            0.012338,             0.45825,             0.48612,             0.49172,             0.22825,            0.034639,           0.0076638,           0.0079343,            0.009769,            0.009769,            0.009769
                   9,            0.050898,            0.021469,            0.012348,             0.48932,             0.46377,             0.46972,             0.19861,            0.037366,           0.0081301,            0.011735,            0.009736,            0.009736,            0.009736
                  10,            0.048745,            0.021307,            0.010946,             0.50465,              0.4608,             0.45431,             0.18972,            0.034189,           0.0077919,           0.0062154,            0.009703,            0.009703,            0.009703
                  11,            0.048174,            0.020818,            0.010238,             0.55728,             0.56712,             0.56523,             0.30494,            0.034773,           0.0073104,           0.0057317,             0.00967,             0.00967,             0.00967
                  12,            0.047465,            0.020858,             0.01112,             0.57532,             0.50011,             0.51315,             0.21636,             0.03509,           0.0080364,           0.0096068,            0.009637,            0.009637,            0.009637
                  13,            0.046942,            0.020409,           0.0094576,             0.66798,             0.63854,             0.65407,             0.36951,            0.033812,            0.006994,           0.0027958,            0.009604,            0.009604,            0.009604
                  14,             0.04583,            0.019863,           0.0079296,             0.58223,             0.54433,             0.55993,             0.25095,            0.034952,           0.0071193,           0.0042049,            0.009571,            0.009571,            0.009571
                  15,            0.044696,            0.019867,           0.0084076,             0.63645,             0.56037,             0.55916,             0.23596,            0.034336,           0.0071233,           0.0071493,            0.009538,            0.009538,            0.009538
