               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082675,            0.027808,            0.055688,             0.79486,           0.0056065,            0.011998,           0.0043407,            0.054782,           0.0084598,            0.035681,            0.070112,           0.0033209,           0.0033209
                   1,            0.073956,            0.026461,             0.04432,             0.56477,             0.05286,           0.0068371,           0.0015274,            0.057771,             0.01296,            0.029191,            0.040105,           0.0066477,           0.0066477
                   2,              0.0698,            0.026302,            0.031111,             0.22312,            0.093614,           0.0016804,          0.00054181,            0.060731,            0.014082,            0.040012,            0.010092,           0.0099678,           0.0099678
                   3,            0.063714,            0.026164,            0.023891,             0.30837,             0.23405,             0.17394,            0.047956,            0.044002,            0.009573,             0.02027,           0.0099703,           0.0099703,           0.0099703
                   4,             0.05772,            0.024884,            0.019294,             0.63307,             0.28122,             0.29131,             0.09724,            0.040168,           0.0088733,           0.0096337,           0.0099703,           0.0099703,           0.0099703
                   5,            0.056294,            0.024201,            0.017627,             0.35407,             0.43577,             0.36362,             0.14273,            0.040158,            0.011154,           0.0096955,           0.0099604,           0.0099604,           0.0099604
                   6,            0.054131,             0.02315,            0.014956,             0.26529,              0.3095,             0.28758,             0.10975,            0.038763,           0.0083227,            0.012859,           0.0099505,           0.0099505,           0.0099505
                   7,            0.051825,            0.022499,            0.013885,             0.39972,             0.44117,             0.39343,              0.1317,            0.040413,           0.0084486,           0.0069299,           0.0099406,           0.0099406,           0.0099406
                   8,            0.052349,            0.022248,            0.013047,             0.42123,             0.39849,             0.39869,             0.18277,            0.037483,           0.0095013,           0.0096535,           0.0099307,           0.0099307,           0.0099307
                   9,            0.050961,            0.022007,             0.01384,              0.4877,             0.51543,             0.53389,             0.25125,            0.036018,           0.0080668,           0.0065385,           0.0099208,           0.0099208,           0.0099208
                  10,             0.04879,            0.021491,            0.011648,             0.62749,             0.62605,             0.62334,             0.28667,            0.034103,           0.0078701,           0.0036646,           0.0099109,           0.0099109,           0.0099109
