               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066504,            0.021148,            0.039861,                0.76,             0.33814,             0.41205,             0.22774,              0.0314,           0.0052921,            0.011012,            0.070136,           0.0033183,           0.0033183
                   1,            0.048925,            0.014316,            0.014475,             0.61964,             0.54288,             0.58741,             0.29376,            0.031646,           0.0042331,           0.0052354,            0.040114,           0.0066296,           0.0066296
                   2,            0.049025,            0.013872,            0.011823,             0.22724,             0.28266,             0.21044,            0.077722,            0.036255,           0.0053074,             0.01826,             0.01007,            0.009919,            0.009919
                   3,            0.051445,            0.014832,            0.015891,             0.77935,             0.21705,             0.25804,             0.15082,             0.03663,           0.0087085,            0.021246,            0.009901,            0.009901,            0.009901
                   4,            0.047364,            0.015014,            0.013836,             0.68334,             0.05543,           0.0090444,           0.0025441,            0.046158,           0.0098214,            0.060571,            0.009901,            0.009901,            0.009901
                   5,            0.045672,            0.014134,            0.010995,             0.54128,             0.50084,             0.47309,             0.27797,            0.029156,           0.0051393,           0.0041853,            0.009868,            0.009868,            0.009868
                   6,            0.046119,            0.013959,            0.011105,             0.68435,             0.50234,             0.53361,             0.30023,            0.029615,           0.0048395,            0.012527,            0.009835,            0.009835,            0.009835
                   7,            0.044741,            0.013748,            0.010618,             0.41657,             0.39238,              0.3642,             0.20111,            0.032979,           0.0062211,            0.015222,            0.009802,            0.009802,            0.009802
                   8,            0.044365,            0.013615,           0.0092487,             0.65407,             0.59009,             0.62346,             0.38166,             0.02733,           0.0046279,           0.0062656,            0.009769,            0.009769,            0.009769
                   9,            0.041607,            0.013036,            0.008836,             0.76855,              0.5743,             0.63821,             0.40662,            0.025558,           0.0044996,           0.0047906,            0.009736,            0.009736,            0.009736
                  10,            0.042185,            0.012908,           0.0091088,             0.68948,             0.57113,             0.60753,             0.37619,            0.027712,            0.004664,           0.0041657,            0.009703,            0.009703,            0.009703
                  11,            0.042393,            0.013086,           0.0090587,             0.70706,             0.59203,             0.60602,             0.40124,            0.028342,           0.0044311,           0.0027149,             0.00967,             0.00967,             0.00967
                  12,             0.03943,            0.012623,           0.0074203,             0.59389,              0.5974,             0.56108,             0.35084,            0.024243,           0.0045638,           0.0033029,            0.009637,            0.009637,            0.009637
                  13,             0.04021,            0.012869,            0.008357,              0.5438,             0.55373,             0.55664,             0.34185,            0.024889,           0.0048864,           0.0026147,            0.009604,            0.009604,            0.009604
                  14,            0.039412,            0.012427,           0.0062992,             0.70148,             0.63472,             0.64899,             0.44842,            0.025315,           0.0037861,           0.0014137,            0.009571,            0.009571,            0.009571
                  15,            0.038785,            0.012742,           0.0074714,             0.75567,             0.64274,              0.6926,             0.47167,            0.020579,           0.0039344,           0.0019327,            0.009538,            0.009538,            0.009538
                  16,            0.038982,            0.012907,           0.0094768,             0.64619,             0.64154,             0.67701,             0.44398,            0.023667,           0.0042324,           0.0061048,            0.009505,            0.009505,            0.009505
                  17,            0.036487,            0.012331,           0.0069819,             0.57291,             0.54781,             0.53842,              0.3371,            0.024405,           0.0043368,           0.0036351,            0.009472,            0.009472,            0.009472
                  18,            0.035291,            0.011822,           0.0061229,             0.65877,             0.63389,             0.67217,             0.43216,            0.023073,           0.0038433,           0.0014402,            0.009439,            0.009439,            0.009439
                  19,            0.035128,            0.011988,           0.0058234,             0.68595,             0.64427,             0.69487,             0.44351,            0.021784,           0.0038061,           0.0017326,            0.009406,            0.009406,            0.009406
                  20,            0.034719,            0.011466,           0.0045978,             0.72597,             0.63291,             0.72533,             0.48516,            0.024254,           0.0037835,           0.0013227,            0.009373,            0.009373,            0.009373
                  21,            0.035138,             0.01143,           0.0054568,              0.7452,             0.70178,             0.76158,             0.52321,            0.020185,           0.0036944,           0.0014476,             0.00934,             0.00934,             0.00934
                  22,            0.034198,            0.011506,           0.0051955,             0.70962,             0.73539,              0.7415,              0.5064,            0.020966,           0.0037814,           0.0011496,            0.009307,            0.009307,            0.009307
                  23,            0.033474,            0.011592,           0.0058101,             0.71874,             0.61263,             0.64815,             0.43615,            0.024072,           0.0040172,           0.0026879,            0.009274,            0.009274,            0.009274
                  24,            0.032286,            0.011683,           0.0073024,             0.74374,             0.68151,             0.71972,             0.48057,            0.021203,           0.0039627,           0.0015718,            0.009241,            0.009241,            0.009241
                  25,            0.032651,            0.011508,           0.0056647,             0.72741,             0.71253,             0.76561,             0.53002,            0.019536,           0.0036402,           0.0011635,            0.009208,            0.009208,            0.009208
                  26,            0.031364,            0.011186,           0.0046505,             0.71356,             0.73639,             0.76874,             0.52438,            0.022603,           0.0035559,           0.0014841,            0.009175,            0.009175,            0.009175
                  27,            0.034187,            0.011699,           0.0049115,             0.74342,             0.67172,             0.72379,              0.4975,            0.021198,           0.0035187,           0.0011611,            0.009142,            0.009142,            0.009142
                  28,            0.033064,            0.011439,           0.0051899,             0.80994,             0.72614,             0.78105,             0.56066,            0.020647,           0.0033554,           0.0016125,            0.009109,            0.009109,            0.009109
                  29,             0.03275,            0.011347,           0.0049532,             0.87983,             0.65479,             0.76249,             0.53051,            0.020339,           0.0035852,           0.0017773,            0.009076,            0.009076,            0.009076
                  30,            0.031912,            0.011339,           0.0045598,             0.72151,             0.64184,             0.68893,             0.48343,            0.021504,            0.003686,           0.0011714,            0.009043,            0.009043,            0.009043
                  31,            0.031489,            0.011083,           0.0044008,             0.76626,             0.69582,             0.76145,              0.5415,            0.019567,           0.0036199,          0.00097465,             0.00901,             0.00901,             0.00901
                  32,            0.032681,            0.011083,           0.0045736,             0.74662,             0.69687,              0.7535,             0.53793,            0.018852,           0.0034677,           0.0010247,            0.008977,            0.008977,            0.008977
