               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07033,            0.024584,            0.040202,              0.5372,             0.49948,             0.46948,             0.24555,            0.038339,           0.0067545,            0.010073,            0.070112,           0.0033209,           0.0033209
                   1,            0.052477,            0.018312,            0.012013,             0.46878,             0.68047,             0.57784,              0.3682,            0.038672,            0.005595,           0.0034793,             0.04009,           0.0066323,           0.0066323
                   2,            0.051077,            0.017564,           0.0091178,             0.40385,             0.43403,             0.36954,               0.156,            0.036585,           0.0089886,            0.011195,            0.010046,           0.0099217,           0.0099217
                   3,            0.051449,            0.019374,            0.012169,             0.36054,             0.35233,             0.33174,             0.13625,            0.044158,           0.0079166,            0.012011,            0.009901,            0.009901,            0.009901
                   4,            0.048072,            0.018873,            0.010202,             0.62898,             0.61066,             0.63251,             0.32587,            0.032503,            0.007022,           0.0046301,            0.009901,            0.009901,            0.009901
                   5,            0.047498,            0.018489,           0.0090698,             0.68839,             0.48086,             0.57299,             0.27979,            0.035518,           0.0069879,           0.0080308,            0.009868,            0.009868,            0.009868
                   6,            0.045756,             0.01794,           0.0081675,             0.78325,             0.69935,             0.74236,             0.44704,            0.031815,           0.0062913,           0.0051398,            0.009835,            0.009835,            0.009835
                   7,            0.043681,            0.017147,           0.0072626,             0.71601,             0.65188,             0.68819,             0.42248,            0.029812,           0.0065848,            0.003005,            0.009802,            0.009802,            0.009802
                   8,            0.044077,            0.017219,            0.007321,             0.81315,             0.71681,             0.76918,             0.47417,             0.02979,           0.0060275,           0.0018376,            0.009769,            0.009769,            0.009769
                   9,            0.042261,            0.017019,           0.0067469,             0.79071,             0.68889,             0.75198,             0.47651,            0.027309,           0.0057617,           0.0027021,            0.009736,            0.009736,            0.009736
                  10,            0.039733,            0.016721,           0.0063563,             0.78269,             0.74088,             0.76668,             0.50385,            0.027114,           0.0060406,           0.0015909,            0.009703,            0.009703,            0.009703
                  11,            0.039092,            0.016236,            0.004956,             0.77285,             0.76346,             0.78797,             0.51345,            0.025626,           0.0057354,           0.0012193,             0.00967,             0.00967,             0.00967
                  12,            0.038374,            0.016303,           0.0057459,             0.80589,             0.77237,             0.81053,             0.54324,            0.024986,           0.0057029,           0.0014355,            0.009637,            0.009637,            0.009637
                  13,            0.037768,            0.015923,           0.0050748,             0.81246,              0.7812,             0.81687,             0.54732,            0.024267,           0.0057772,          0.00085959,            0.009604,            0.009604,            0.009604
                  14,             0.03693,            0.015687,           0.0046149,             0.85323,             0.81212,             0.84398,             0.56507,            0.025814,           0.0052362,          0.00082855,            0.009571,            0.009571,            0.009571
                  15,            0.035647,            0.015678,           0.0048129,             0.90238,             0.83277,             0.86425,              0.5884,            0.025125,           0.0051555,          0.00095478,            0.009538,            0.009538,            0.009538
                  16,             0.03546,            0.015225,           0.0041555,             0.82432,             0.80051,              0.8257,             0.57548,            0.024234,            0.005418,          0.00097007,            0.009505,            0.009505,            0.009505
                  17,            0.036275,            0.015322,           0.0053582,              0.8344,             0.79913,             0.82996,             0.57695,            0.024759,           0.0051128,            0.001057,            0.009472,            0.009472,            0.009472
                  18,            0.034765,            0.015271,           0.0036887,              0.8414,                0.81,             0.83962,             0.59019,            0.023787,           0.0051259,          0.00066413,            0.009439,            0.009439,            0.009439
                  19,            0.034582,            0.014677,           0.0038658,             0.88454,             0.83064,             0.86123,             0.60499,            0.022527,           0.0050543,           0.0007316,            0.009406,            0.009406,            0.009406
